"show_id","type","title","country","date_added","release_year","rating","duration","listed_in","description"
"s1","Movie","Dick Johnson Is Dead","United States","2021-09-25 00:00:00","2020","PG-13","90 min","Documentaries","As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
"s2","TV Show","Blood & Water","South Africa","2021-09-24 00:00:00","2021","TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Mysteries","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
"s3","TV Show","Ganglands","null","2021-09-24 00:00:00","2021","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
"s4","TV Show","Jailbirds New Orleans","null","2021-09-24 00:00:00","2021","TV-MA","1 Season","Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
"s5","TV Show","Kota Factory","India","2021-09-24 00:00:00","2021","TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, TV Comedies","In a city of coaching centers known to train Indiaâ€™s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
"s6","TV Show","Midnight Mass","null","2021-09-24 00:00:00","2021","TV-MA","1 Season","TV Dramas, TV Horror, TV Mysteries","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
"s7","Movie","My Little Pony: A New Generation","null","2021-09-24 00:00:00","2021","PG","91 min","Children & Family Movies","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals â€” and, hoof to heart, sheâ€™s determined to prove it."
"s8","Movie","Sankofa","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","2021-09-24 00:00:00","1993","TV-MA","125 min","Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
"s9","TV Show","The Great British Baking Show","United Kingdom","2021-09-24 00:00:00","2021","TV-14","9 Seasons","British TV Shows, Reality TV","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
"s10","Movie","The Starling","United States","2021-09-24 00:00:00","2021","PG-13","104 min","Comedies, Dramas","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden â€” and a husband who's struggling to find a way forward."
"s11","TV Show","Vendetta: Truth, Lies and The Mafia","null","2021-09-24 00:00:00","2021","TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
"s12","TV Show","Bangkok Breaking","null","2021-09-23 00:00:00","2021","TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
"s13","Movie","Je Suis Karl","Germany, Czech Republic","2021-09-23 00:00:00","2021","TV-MA","127 min","Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"s14","Movie","Confessions of an Invisible Girl","null","2021-09-22 00:00:00","2021","TV-PG","91 min","Children & Family Movies, Comedies","When the clever but socially-awkward TetÃª joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
"s15","TV Show","Crime Stories: India Detectives","null","2021-09-22 00:00:00","2021","TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries","Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations."
"s16","TV Show","Dear White People","United States","2021-09-22 00:00:00","2021","TV-MA","4 Seasons","TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
"s17","Movie","Europe's Most Dangerous Man: Otto Skorzeny in Spain","null","2021-09-22 00:00:00","2020","TV-MA","67 min","Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
"s18","TV Show","Falsa identidad","Mexico","2021-09-22 00:00:00","2020","TV-MA","2 Seasons","Crime TV Shows, Spanish-Language TV Shows, TV Dramas","Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband."
"s19","Movie","Intrusion","null","2021-09-22 00:00:00","2021","TV-14","94 min","Thrillers","After a deadly home invasion at a coupleâ€™s new dream house, the traumatized wife searches for answers â€” and learns the real danger is just beginning."
"s20","TV Show","Jaguar","null","2021-09-22 00:00:00","2021","TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
"s21","TV Show","Monsters Inside: The 24 Faces of Billy Milligan","null","2021-09-22 00:00:00","2021","TV-14","1 Season","Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
"s22","TV Show","Resurrection: Ertugrul","Turkey","2021-09-22 00:00:00","2018","TV-14","5 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
"s23","Movie","Avvai Shanmughi","null","2021-09-21 00:00:00","1996","TV-PG","161 min","Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
"s24","Movie","Go! Go! Cory Carson: Chrissy Takes the Wheel","null","2021-09-21 00:00:00","2021","TV-Y","61 min","Children & Family Movies","From arcade games to sled days and hiccup cures, Cory Carsonâ€™s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
"s25","Movie","Jeans","India","2021-09-21 00:00:00","1998","TV-14","166 min","Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
"s949","Movie","Swiped","United States","2021-05-01 00:00:00","2018","TV-14","94 min","Comedies","When two college roommates develop a discreet hookup app, casual affairs â€“ and complications â€“ soon run rampant on campus."
"s26","TV Show","Love on the Spectrum","Australia","2021-09-21 00:00:00","2021","TV-14","2 Seasons","Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
"s27","Movie","Minsara Kanavu","null","2021-09-21 00:00:00","1997","TV-PG","147 min","Comedies, International Movies, Music & Musicals","A tangled love triangle ensues when a man falls for a woman studying to become a nun â€” and she falls for the friend he enlists to help him pursue her."
"s28","Movie","Grown Ups","United States","2021-09-20 00:00:00","2010","PG-13","103 min","Comedies","Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
"s29","Movie","Dark Skies","United States","2021-09-19 00:00:00","2013","PG-13","97 min","Horror Movies, Sci-Fi & Fantasy","A familyâ€™s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
"s30","Movie","Paranoia","United States, India, France","2021-09-19 00:00:00","2013","PG-13","106 min","Thrillers","Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
"s31","Movie","Ankahi Kahaniya","null","2021-09-17 00:00:00","2021","TV-14","111 min","Dramas, Independent Movies, International Movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
"s32","TV Show","Chicago Party Aunt","null","2021-09-17 00:00:00","2021","TV-MA","1 Season","TV Comedies","Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â€” and a soft spot for her soul-searching nephew."
"s33","TV Show","Sex Education","United Kingdom","2021-09-17 00:00:00","2020","TV-MA","3 Seasons","British TV Shows, International TV Shows, TV Comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
"s34","TV Show","Squid Game","null","2021-09-17 00:00:00","2021","TV-MA","1 Season","International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â€” with deadly high stakes."
"s35","TV Show","Tayo and Little Wizards","null","2021-09-17 00:00:00","2020","TV-Y7","1 Season","Kids' TV","Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone."
"s36","Movie","The Father Who Moves Mountains","null","2021-09-17 00:00:00","2021","TV-MA","110 min","Dramas, International Movies, Thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â€” and risk everything â€” to find him."
"s37","Movie","The Stronghold","null","2021-09-17 00:00:00","2021","TV-MA","105 min","Action & Adventure, Dramas, International Movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
"s38","TV Show","Angry Birds","Finland","2021-09-16 00:00:00","2018","TV-Y7","1 Season","Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
"s39","Movie","Birth of the Dragon","China, Canada, United States","2021-09-16 00:00:00","2017","PG-13","96 min","Action & Adventure, Dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
"s40","TV Show","Chhota Bheem","India","2021-09-16 00:00:00","2021","TV-Y7","3 Seasons","Kids' TV","A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
"s41","TV Show","He-Man and the Masters of the Universe","United States","2021-09-16 00:00:00","2021","TV-Y7","1 Season","Kids' TV, TV Sci-Fi & Fantasy","Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â€” and their destiny to defend Eternia from sinister Skeletor."
"s42","Movie","Jaws","United States","2021-09-16 00:00:00","1975","PG","124 min","Action & Adventure, Classic Movies, Dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
"s43","Movie","Jaws 2","United States","2021-09-16 00:00:00","1978","PG","116 min","Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
"s44","Movie","Jaws 3","United States","2021-09-16 00:00:00","1983","PG","98 min","Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
"s45","Movie","Jaws: The Revenge","United States","2021-09-16 00:00:00","1987","PG-13","91 min","Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â€“ but a great white shark follows her there."
"s46","Movie","My Heroes Were Cowboys","null","2021-09-16 00:00:00","2021","PG","23 min","Documentaries","Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
"s47","Movie","Safe House","South Africa, United States, Japan","2021-09-16 00:00:00","2012","R","115 min","Action & Adventure","Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location."
"s48","TV Show","The Smart Money Woman","null","2021-09-16 00:00:00","2020","TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
"s49","Movie","Training Day","United States","2021-09-16 00:00:00","2001","R","122 min","Dramas, Thrillers","A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice."
"s50","TV Show","Castle and Castle","Nigeria","2021-09-15 00:00:00","2021","TV-MA","2 Seasons","International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
"s51","TV Show","Dharmakshetra","India","2021-09-15 00:00:00","2014","TV-PG","1 Season","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
"s183","Movie","Welcome Home Roscoe Jenkins","United States","2021-09-01 00:00:00","2008","PG-13","114 min","Comedies","R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
"s52","Movie","InuYasha the Movie 2: The Castle Beyond the Looking Glass","Japan","2021-09-15 00:00:00","2002","TV-14","99 min","Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
"s53","Movie","InuYasha the Movie 3: Swords of an Honorable Ruler","Japan","2021-09-15 00:00:00","2003","TV-14","99 min","Action & Adventure, Anime Features, International Movies","The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened."
"s54","Movie","InuYasha the Movie 4: Fire on the Mystic Island","Japan","2021-09-15 00:00:00","2004","TV-PG","88 min","Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
"s55","Movie","InuYasha the Movie: Affections Touching Across Time","Japan","2021-09-15 00:00:00","2001","TV-PG","100 min","Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
